Dataset	Statistic	MAD	MADScaled	MADRank	MAE	MAEScaled	MAERank	RMSE	RMSEScaled	RMSERank
Splat	Mean	0.19322537778598736	-0.9438325388099881	3	0.19481134688633536	-1.058336204461734	3	0.24944612269568478	-1.0397362289709395	3
SplatDrop	Mean	0.3045505978343863	-0.7753388297523608	5	0.28612894767813163	-0.9290714535213921	4	0.3762394759987129	-0.9024961279540987	4
Simple	Mean	0.22769886191381966	-0.8916559951452875	4	1.0925211906016754	0.21241815568765635	6	1.6713061411827286	0.49927356519867866	9
Lun	Mean	1.381188569060754	0.854181641937186	10	1.3197631068156495	0.5340907516374644	9	1.5023548870476462	0.316402092992991	7
Lun2	Mean	1.698975488304255	1.335160675170224	11	1.9431364149383323	1.416507664901075	11	2.5630530292715736	1.4644931907911796	11
Lun2ZINB	Mean	1.721569349484327	1.369357090596202	12	2.0168166376112255	1.520805801847924	12	2.6735801929090024	1.5841268995586513	12
scDD	Mean	1.2227242958017928	0.6143417104022135	8	1.27598463396655	0.47212007632055714	8	1.4337865107740777	0.24218423660539956	6
BASiCS	Mean	0.0230752636670557	-1.2013593041917527	2	0.024457045978283857	-1.299481461099637	2	0.02842181114814444	-1.2789711577251874	2
mfa	Mean	1.1625505022775102	0.5232670585437552	7	1.223339166171937	0.3975977145458074	7	1.6174183652848246	0.44094587202594365	8
PhenoPath	Mean	1.3107326632693046	0.7475447371400974	9	1.337239410827065	0.5588293569644266	10	1.6813402705943363	0.5101344257894855	10
ZINBWaVE	Mean	0.0049456991886994706	-1.2287988867160864	1	0.01556821708497857	-1.3120640546312408	1	0.025027079814760423	-1.2826455874881197	1
SparseDC	Mean	0.5506456518027362	-0.40286735917420263	6	0.5797637297786217	-0.5134163481909061	5	0.6984748335988946	-0.553711180823983	5
Splat	Variance	1.2093513664864695	-0.3861833012007544	6	0.9193096531709305	-0.5616535921587532	3	1.0332421252476347	-0.7263300476257261	3
SplatDrop	Variance	1.644558081145754	-0.21500150131773416	9	1.442327030345091	-0.34643976545486554	6	1.7548619049528758	-0.4262164029685968	5
Simple	Variance	0.47809414647549214	-0.6738119679526732	3	1.5206814872123777	-0.3141980785862125	7	1.9935161104412824	-0.32696277185120554	6
Lun	Variance	6.010523992804149	1.5022833608211708	11	5.869280113871123	1.4751852040477391	11	5.981809823870044	1.3317242486031597	11
Lun2	Variance	1.2612150112156866	-0.36578354229494014	8	1.7382030319771251	-0.22469121689780303	8	3.5200318137792936	0.3078981400021842	9
Lun2ZINB	Variance	1.25506739863077	-0.3682016101965197	7	1.7406685686013008	-0.22367668545979547	9	3.4379401951273283	0.2737571483576538	8
scDD	Variance	1.1264675231023935	-0.41878437332073803	5	0.983727610316698	-0.5351465664444408	4	1.1460980264220793	-0.6793945328642514	4
BASiCS	Variance	0.05169730901656777	-0.8415285395083072	2	0.0879402023895068	-0.9037496844035047	2	0.12596572437088974	-1.103656217218448	2
mfa	Variance	0.6957239884011299	-0.58821065070679035	4	1.1692732631716083	-0.45879730593817025	5	2.08488513229787	-0.2889634113440171	7
PhenoPath	Variance	7.824816737751928	2.2159072253748433	12	8.04564588370705	2.370727161304303	12	8.097340226797959	2.211549826367946	12
ZINBWaVE	Variance	0.04168996461891572	-0.845464772954017	1	0.051563167565382775	-0.9187182900566078	1	0.0627204182691274	-1.1299592369740994	1
SparseDC	Variance	4.694840433903547	0.9847796732564599	10	3.8424108437395375	0.641158820048112	10	4.117920161466608	0.5565532575154015	10
Splat	ZerosGene	2.1999999999999904	-0.9618565444592748	3	2.28078876932321	-1.1942658817574596	3	2.9165423842090576	-1.195033590509287	3
SplatDrop	ZerosGene	7.3999999999999915	-0.6302551722258012	5	8.334396678866007	-0.7345893143108123	4	10.928530892043508	-0.7073784605566852	4
Simple	ZerosGene	5.800000000000011	-0.7322863636822533	4	20.006991861036767	0.15176120040889116	7	32.015095786575905	0.5760696539584641	8
Lun	ZerosGene	17.599999999999994	0.020193673309089496	7	18.732757961435514	0.055003122607136475	6	21.014275711746507	-0.09350274219891813	6
Lun2	ZerosGene	35	1.1297828803980208	10	31.665330201562245	1.0370291316299505	10	40.225310107915654	1.075789932875067	10
