Country	Continent	Subcontinent	Users
(not set)	(not set)	(not set)	52
Algeria	Africa	Northern Africa	1
Angola	Africa	Middle Africa	1
Argentina	Americas	South America	5
Australia	Oceania	Australasia	478
Austria	Europe	Western Europe	33
Bangladesh	Asia	Southern Asia	2
Belgium	Europe	Western Europe	87
Bolivia	Americas	South America	1
Brazil	Americas	South America	114
Bulgaria	Europe	Eastern Europe	3
Burkina Faso	Africa	Western Africa	1
Canada	Americas	Northern America	223
Chile	Americas	South America	6
China	Asia	Eastern Asia	1033
Colombia	Americas	South America	2
Croatia	Europe	Southern Europe	3
Cyprus	Asia	Western Asia	2
Czechia	Europe	Eastern Europe	11
Denmark	Europe	Northern Europe	37
Ecuador	Americas	South America	1
Egypt	Africa	Northern Africa	10
Estonia	Europe	Northern Europe	4
Finland	Europe	Northern Europe	41
France	Europe	Western Europe	447
Germany	Europe	Western Europe	510
Greece	Europe	Southern Europe	19
Hong Kong	Asia	Eastern Asia	101
Hungary	Europe	Eastern Europe	6
Iceland	Europe	Northern Europe	6
India	Asia	Southern Asia	122
Indonesia	Asia	Southeast Asia	5
Iran	Asia	Southern Asia	8
Iraq	Asia	Western Asia	36
Ireland	Europe	Northern Europe	9
Israel	Asia	Western Asia	63
Italy	Europe	Southern Europe	140
Japan	Asia	Eastern Asia	328
Jordan	Asia	Western Asia	1
Kenya	Africa	Eastern Africa	2
Kuwait	Asia	Western Asia	1
Latvia	Europe	Northern Europe	1
Lebanon	Asia	Western Asia	2
Luxembourg	Europe	Western Europe	17
Macau	Asia	Eastern Asia	9
Macedonia (FYROM)	Europe	Southern Europe	3
Malaysia	Asia	Southeast Asia	7
Mexico	Americas	Central America	12
Morocco	Africa	Northern Africa	1
Mozambique	Africa	Eastern Africa	1
Namibia	Africa	Southern Africa	1
Netherlands	Europe	Western Europe	99
New Zealand	Oceania	Australasia	17
Nigeria	Africa	Western Africa	2
Norway	Europe	Northern Europe	28
Pakistan	Asia	Southern Asia	5
Palestine	Asia	Western Asia	1
Panama	Americas	Central America	1
Peru	Americas	South America	15
Philippines	Asia	Southeast Asia	10
Poland	Europe	Eastern Europe	54
Portugal	Europe	Southern Europe	18
Puerto Rico	Americas	Caribbean	1
Qatar	Asia	Western Asia	3
Romania	Europe	Eastern Europe	10
Russia	Europe	Eastern Europe	75
Saudi Arabia	Asia	Western Asia	8
Serbia	Europe	Southern Europe	7
Singapore	Asia	Southeast Asia	75
Slovakia	Europe	Eastern Europe	3
Slovenia	Europe	Southern Europe	3
South Africa	Africa	Southern Africa	16
South Korea	Asia	Eastern Asia	364
Spain	Europe	Southern Europe	78
Sweden	Europe	Northern Europe	82
Switzerland	Europe	Western Europe	142
Taiwan	Asia	Eastern Asia	44
Thailand	Asia	Southeast Asia	14
Tunisia	Africa	Northern Africa	1
Turkey	Asia	Western Asia	13
Ukraine	Europe	Eastern Europe	10
United Arab Emirates	Asia	Western Asia	5
United Kingdom	Europe	Northern Europe	451
United States	Americas	Northern America	3516
Uruguay	Americas	South America	1
Vietnam	Asia	Southeast Asia	8
