Date	Users1Day	Users7Day	Users30Day
2017-07-15	0	0	0
2017-07-16	1	1	1
2017-07-17	9	10	10
2017-07-18	93	101	101
2017-07-19	63	158	158
2017-07-20	34	191	191
2017-07-21	22	210	210
2017-07-22	9	216	216
2017-07-23	3	217	218
2017-07-24	12	218	226
2017-07-25	5	135	227
2017-07-26	7	79	231
2017-07-27	8	57	236
2017-07-28	8	43	241
2017-07-29	0	37	241
2017-07-30	1	36	242
2017-07-31	4	27	244
2017-08-01	6	27	247
2017-08-02	4	24	249
2017-08-03	1	18	249
2017-08-04	3	14	250
2017-08-05	0	14	250
2017-08-06	0	13	250
2017-08-07	7	16	254
2017-08-08	6	17	259
2017-08-09	5	16	261
2017-08-10	3	18	263
2017-08-11	5	19	266
2017-08-12	1	20	267
2017-08-13	1	20	267
2017-08-14	1	16	267
2017-08-15	4	15	269
2017-08-16	2	14	264
2017-08-17	1	13	184
2017-08-18	2	10	127
2017-08-19	1	10	99
2017-08-20	5	13	82
2017-08-21	6	19	82
2017-08-22	6	19	84
2017-08-23	4	20	77
2017-08-24	0	19	73
2017-08-25	5	22	70
2017-08-26	0	21	64
2017-08-27	0	18	58
2017-08-28	3	15	60
2017-08-29	2	13	60
2017-08-30	1	11	59
2017-08-31	2	13	56
2017-09-01	10	18	61
2017-09-02	3	21	64
2017-09-03	0	21	62
2017-09-04	5	22	65
2017-09-05	1	21	66
2017-09-06	2	22	64
2017-09-07	1	21	61
2017-09-08	4	15	62
2017-09-09	4	15	63
2017-09-10	2	17	60
2017-09-11	6	19	64
2017-09-12	2	20	66
2017-09-13	1	19	67
2017-09-14	4	20	67
2017-09-15	1	17	66
2017-09-16	1	15	66
2017-09-17	2	15	68
2017-09-18	4	14	69
2017-09-19	5	17	69
2017-09-20	2	17	65
2017-09-21	15	26	75
2017-09-22	2	28	74
2017-09-23	1	27	74
2017-09-24	1	26	71
2017-09-25	10	29	75
2017-09-26	5	30	80
2017-09-27	4	34	82
2017-09-28	2	24	82
2017-09-29	1	23	81
